t,u_measured
0.000000000000000000e+00,1.297488505371852785e+00
5.000000000000000104e-03,1.227885734298754361e+00
1.000000000000000021e-02,1.129003498159015573e+00
1.499999999999999944e-02,9.641581614062249006e-01
2.000000000000000042e-02,9.717467892302925625e-01
2.500000000000000139e-02,8.928167290201917128e-01
2.999999999999999889e-02,9.190245280364633951e-01
3.500000000000000333e-02,8.287567278753742439e-01
4.000000000000000083e-02,9.405224622790697708e-01
4.499999999999999833e-02,8.855985792503443532e-01
5.000000000000000278e-02,9.797950425578390021e-01
5.500000000000000028e-02,9.443174896415211794e-01
5.999999999999999778e-02,1.037726880573263344e+00
6.500000000000000222e-02,1.025530392392800971e+00
7.000000000000000666e-02,1.099011870135967461e+00
7.499999999999999722e-02,1.007877171418874118e+00
8.000000000000000167e-02,1.065729436073957093e+00
8.500000000000000611e-02,9.195195174233870006e-01
8.999999999999999667e-02,9.031876493910762083e-01
9.500000000000000111e-02,8.840196883721752608e-01
1.000000000000000056e-01,8.070569553567046306e-01
1.049999999999999961e-01,8.403137268459512921e-01
1.100000000000000006e-01,7.294063017566581042e-01
1.150000000000000050e-01,6.703944847028777687e-01
1.199999999999999956e-01,4.995804251923379180e-01
1.250000000000000000e-01,5.139128619316439828e-01
1.300000000000000044e-01,5.738405657298101259e-01
1.350000000000000089e-01,5.808227871303106582e-01
1.400000000000000133e-01,6.653891039548711639e-01
1.449999999999999900e-01,8.343547062631164746e-01
1.499999999999999944e-01,7.916348870553604478e-01
1.549999999999999989e-01,8.068195916144436097e-01
1.600000000000000033e-01,9.205701226935149029e-01
1.650000000000000078e-01,9.892306820794631861e-01
1.700000000000000122e-01,1.140823920647858092e+00
1.750000000000000167e-01,1.187575503197947135e+00
1.799999999999999933e-01,1.190367852223781053e+00
1.849999999999999978e-01,1.117122612111038249e+00
1.900000000000000022e-01,1.072233601841092510e+00
1.950000000000000067e-01,1.028840115614611639e+00
2.000000000000000111e-01,9.611305783212912290e-01
2.050000000000000155e-01,9.372043094945377018e-01
2.099999999999999922e-01,9.135523910069160980e-01
2.149999999999999967e-01,9.183986164335599112e-01
2.200000000000000011e-01,9.235885135144192848e-01
2.250000000000000056e-01,9.863489295154883596e-01
2.300000000000000100e-01,9.203183580992124746e-01
2.350000000000000144e-01,9.186305418149675051e-01
2.399999999999999911e-01,1.039028421219820641e+00
2.449999999999999956e-01,1.053971804718722094e+00
2.500000000000000000e-01,1.228844216347075413e+00
2.550000000000000044e-01,1.320888513564449696e+00
2.600000000000000089e-01,1.401711704560069993e+00
2.650000000000000133e-01,1.369695067546381262e+00
2.700000000000000178e-01,1.373490811721243654e+00
2.750000000000000222e-01,1.310322619185634974e+00
2.800000000000000266e-01,1.356354313806385825e+00
2.850000000000000311e-01,1.365801617425974390e+00
2.899999999999999800e-01,1.326392549579056057e+00
